t,x,sigma
1109.6500347222245,1.46727953471265e-06,1.3141023957339231e-07
1116.6500347222245,1.3717820698841559e-06,1.439445569198011e-07
1123.6500347222245,1.1794970480744396e-06,1.363998969250763e-07
1130.6500347222245,8.005371722876241e-07,1.0774583404355839e-07
1137.6500347222245,2.0276234405928936e-06,1.2592050699454322e-07
1144.6500347222245,1.691114378022241e-06,1.0797858341017602e-07
1151.6500347222245,8.53861046863892e-07,9.907789927685207e-08
1158.6500347222245,1.1560892331738514e-06,1.2726926255996514e-07
1165.6500347222245,1.0547249004550044e-06,1.1229912257600125e-07
1172.6500347222245,9.361873712737864e-07,1.1820292118651398e-07
1179.6500347222245,8.891399693887962e-07,1.1852003671172995e-07
1186.6500347222245,4.264851941518573e-07,7.773598240742777e-08
1193.6500347222245,3.5564199188874667e-07,7.185584745719522e-08
1200.6500347222245,1.2236431469198753e-06,1.1616952827715611e-07
1207.6500347222245,3.349652693524734e-07,1.001532034947622e-07
1214.6500347222245,7.079535943800697e-07,1.064354126203122e-07
1221.6500347222245,4.5587074088684773e-07,8.494520601670228e-08
1228.6500347222245,6.602502899559715e-07,1.0886183853430638e-07
1235.6500347222245,6.262431570424096e-07,1.0497283426081362e-07
1242.6500347222245,3.777764187546099e-07,7.173020812818022e-08
1249.6500347222245,8.821307488843444e-07,9.118354459034748e-08
1256.6500347222245,1.662607588631677e-06,1.3871616487541654e-07
1263.6500347222245,2.2494114666559596e-06,1.805846816148629e-07
1270.6500347222245,1.72899988169821e-06,1.393765281454407e-07
1277.6500347222245,9.792773142699792e-07,1.168777002826581e-07
1284.6500347222245,5.881993073168716e-07,1.1430570587018225e-07
1291.6500347222245,1.9483611715895895e-07,8.231287276962541e-08
1298.6500347222245,2.2988612150639046e-07,6.124702757706892e-08
1305.6500347222245,2.9300048660845797e-07,7.102268563828056e-08
1312.6500347222245,2.033285910736066e-07,6.264318988418163e-08
1319.6500347222245,2.7382693003697695e-07,8.135894316866513e-08
1326.6500347222245,5.373172070617078e-07,9.276074159598197e-08
1333.6500347222245,5.987248418710166e-07,8.879945950841554e-08
1340.6500347222245,3.010203114372416e-07,7.60296140944594e-08
1347.6500347222245,3.639281217335235e-07,7.022205209770906e-08
1354.6500347222245,5.59089161357957e-07,7.156199610346276e-08
1361.6500347222245,3.035791834885466e-07,6.81146220256333e-08
1368.6500347222245,4.077675253728082e-07,8.730757922953188e-08
1375.6500347222245,6.691453700162166e-07,1.0107998938008863e-07
1382.6500347222245,3.8086771316502e-07,7.640332622747316e-08
