t,x,sigma
1263.6500347222245,1.8227071227063136e-07,9.784653314461091e-08
1270.6500347222245,1.1015837298196333e-06,1.4550364105971794e-07
1277.6500347222245,8.007396914483728e-07,1.177999479227247e-07
1284.6500347222245,7.196465139310428e-07,1.2707248766364884e-07
1291.6500347222245,7.080836711396048e-07,9.99719893226137e-08
1298.6500347222245,6.639082901509122e-07,8.161848150220439e-08
1305.6500347222245,6.162368029219512e-07,1.0499087105926809e-07
1312.6500347222245,4.816191039792011e-07,1.1452529078324902e-07
1319.6500347222245,3.4040868487477863e-07,9.694478542338943e-08
1326.6500347222245,3.76816698280324e-07,9.538789969565484e-08
1333.6500347222245,5.846643462105671e-07,9.395874261385182e-08
1340.6500347222245,2.851527235378418e-07,1.277335570132898e-07
1347.6500347222245,3.687933098590897e-07,6.643291559452626e-08
1354.6500347222245,4.0553561750145573e-07,7.38909072094961e-08
1361.6500347222245,2.2663070863153176e-07,1.2683730795896498e-07
1368.6500347222245,2.553498078468853e-07,9.485529563627055e-08
1375.6500347222245,2.5608147355378093e-07,8.863285012054688e-08
1382.6500347222245,4.69168342948847e-07,1.0668009346032582e-07
1389.6500347222245,5.675473746008428e-07,9.038344762062665e-08
1396.6500347222245,9.554259797017781e-07,8.087109734416273e-08
1403.6500347222245,7.163566021631049e-07,7.985339255299045e-08
1410.6500347222245,7.124502436079494e-07,9.168087601598129e-08
1417.6500347222245,4.872115103009112e-07,9.570529836240224e-08
1424.6500347222245,7.250551564053008e-07,1.0298882720822008e-07
1431.6500347222245,5.702849244884087e-07,1.12103960236947e-07
1438.6500347222245,3.596163574633912e-07,1.3660015511900657e-07
1445.6500347222245,5.206265421847537e-07,7.512635561938489e-08
1452.6500347222245,3.238572489309276e-07,6.76855214556482e-08
1459.6500347222245,1.1175205436209591e-07,8.144991222959269e-08
1466.6500347222245,3.341356950583403e-07,8.787916048589996e-08
1473.6500347222245,2.236482243533132e-07,9.379376935948084e-08
1480.6500347222245,1.786988309960384e-07,8.186348296050991e-08
1487.6500347222245,3.3861464478456246e-07,1.0141880640302888e-07
1494.6500347222245,1.0195420591905268e-07,4.828589892924686e-08
1501.6500347222245,6.327996856135829e-08,3.871850277736206e-08
1508.6500347222245,1.4173644635281148e-07,6.423386949258409e-08
1515.6500347222245,4.1457246939921176e-07,1.1816596519220197e-07
1522.6500347222245,2.4643818229079504e-07,1.4707380116470739e-07
1529.6500347222245,4.609316291729102e-07,1.2866612303374814e-07
1536.6500347222245,3.68706794399596e-07,1.0096200871364796e-07
1543.6500347222245,1.469574538195969e-07,4.1429315858896985e-08
1550.6500347222245,4.0829236670672556e-07,9.50325125898073e-08
1557.6500347222245,4.992023306062774e-07,6.11159292019049e-08
1564.6500347222245,3.612756450677517e-07,8.453404275321522e-08
1571.6500347222245,4.751522129045526e-07,9.495686091495083e-08
1578.6500347222245,2.6230704952579016e-07,8.510434749838063e-08
1585.6500347222245,1.6707760644128848e-07,5.8482968478852876e-08
1592.6500347222245,1.0059524198422504e-07,4.873347477617035e-08
1599.6500347222245,1.1541413886211408e-07,9.069178371248584e-08
1606.6500347222245,2.559117348533865e-07,9.185234751110807e-08
1613.6500347222245,7.107285586261787e-07,7.834721407145897e-08
1620.6500347222245,5.690619459820265e-07,7.571911386818867e-08
1627.6500347222245,3.93749699859043e-08,1.9086174846070945e-08
1634.6500347222245,4.785007521244608e-08,2.8493376761076467e-08
1641.6500347222245,1.2277650237908124e-07,1.3258614239018227e-07
